financial_year,state_code,states,requirement_urea,availability_urea,sales_urea,requirement_dap,availability_dap,sales_dap,requirement_mop,availability_mop,sales_mop,requirement_npks,availability_npks,sales_npks
2018-19,14.0,Himachal Pradesh,0.66,0.86,0.73,0.0,0.01,0.0,0.1,0.11,0.06,0.38,0.45,0.26
2018-19,15.0,J&K,1.33,1.89,1.32,0.72,0.81,0.49,0.26,0.44,0.23,0.0,0.02,0.0
2018-19,16.0,Jharkhand,2.4,2.81,2.39,1.05,1.0,0.69,0.12,0.05,0.01,0.35,0.46,0.29
2018-19,17.0,Karnataka,14.0,16.76,13.91,5.87,7.44,4.88,4.0,3.75,2.64,11.71,19.0,13.31
2018-19,18.0,Kerala,1.4,1.22,0.95,0.27,0.27,0.21,1.24,1.11,0.84,1.67,1.57,1.16
2018-19,19.0,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,20.0,Madhya Pradesh,23.0,34.36,29.51,11.5,16.87,12.63,1.25,1.58,1.08,2.8,5.39,3.89
2018-19,21.0,Maharashtra,22.0,27.75,22.81,6.7,8.58,5.61,4.5,5.24,3.86,18.0,31.05,19.72
2018-19,22.0,Manipur,0.24,0.3,0.24,0.12,0.01,0.0,0.12,0.0,0.0,0.0,0.0,0.0
2018-19,23.0,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,24.0,Mizoram,0.09,0.15,0.07,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2018-19,25.0,Nagaland,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,26.0,Orissa,5.75,6.38,4.96,2.15,2.42,1.69,1.45,1.66,1.08,3.0,3.32,2.23
2018-19,27.0,Pondicherry,0.11,0.15,0.13,0.01,0.01,0.01,0.03,0.02,0.02,0.06,0.05,0.04
2018-19,28.0,Punjab,25.5,34.62,29.17,8.5,8.84,7.02,1.1,0.96,0.56,0.68,0.76,0.55
2018-19,29.0,Rajasthan,19.0,24.22,20.92,6.15,8.41,6.71,0.3,0.48,0.29,0.55,1.3,0.91
2018-19,30.0,Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,31.0,Tamil Nadu,8.5,10.92,9.11,3.0,3.28,2.31,3.5,3.5,2.67,5.5,7.57,5.53
2018-19,32.0,Telangana,15.0,16.87,13.83,3.2,3.08,2.23,2.6,1.77,1.41,10.5,14.65,10.51
2018-19,33.0,Tripura,0.39,0.34,0.11,0.06,0.05,0.0,0.14,0.07,0.0,0.02,0.01,0.0
2018-19,34.0,Uttar Pradesh,2.35,3.0,2.75,0.33,0.4,0.22,0.05,0.08,0.03,0.39,0.42,0.32
2018-19,35.0,Uttarakhand,59.5,73.89,62.86,21.0,23.69,17.17,3.5,2.66,1.82,9.0,8.59,6.13
2018-19,36.0,West Bengal,13.0,16.18,13.23,3.5,4.19,2.75,3.25,3.56,2.42,10.54,13.13,8.79
2018-19,37.0,All India,300.04,379.62,320.04,98.4,121.67,87.35,36.81,38.21,26.98,97.68,138.16,95.66
2019-20,1.0,Andaman & Nicobar,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
2019-20,2.0,Andhra Pradesh,17.5,17.52,14.26,3.0,4.72,3.52,2.7,3.18,2.42,12.0,17.83,13.52
2019-20,3.0,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,4.0,Assam,3.1,4.26,3.63,0.63,0.93,0.65,0.71,1.06,0.71,0.16,0.24,0.18
2019-20,5.0,Bihar,21.0,26.21,22.65,6.0,9.49,7.44,2.3,3.2,2.46,3.5,4.97,3.31
2019-20,6.0,Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,7.0,Chattisgarh,6.0,10.71,7.96,3.1,5.27,3.56,0.96,1.32,0.92,1.2,1.6,0.94
2019-20,8.0,Dadra & Nagar Haveli,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,9.0,Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,10.0,Delhi,0.16,0.28,0.25,0.04,0.05,0.04,0.01,0.01,0.0,0.02,0.0,0.0
2019-20,11.0,GOA,0.02,0.02,0.02,0.02,0.0,0.0,0.01,0.01,0.0,0.03,0.04,0.03
2019-20,12.0,Gujarat,22.0,25.68,23.63,5.0,6.98,5.18,1.4,1.72,1.25,5.46,9.03,6.64
2019-20,13.0,Harayana,21.0,23.61,20.88,6.3,7.44,5.89,0.95,1.06,0.58,0.4,0.4,0.23
2019-20,14.0,Himachal Pradesh,0.69,0.85,0.74,0.01,0.02,0.01,0.09,0.12,0.07,0.4,0.47,0.32
2019-20,15.0,J&K,1.38,2.12,0.96,0.68,0.94,0.35,0.26,0.54,0.16,0.02,0.02,0.01
2019-20,16.0,Jharkhand,2.6,2.97,2.41,1.0,1.14,0.79,0.13,0.06,0.03,0.45,0.51,0.38
2019-20,17.0,Karnataka,17.91,17.74,14.63,6.49,7.91,5.54,4.8,3.63,2.59,14.21,20.28,14.7
2019-20,18.0,Kerala,1.17,1.34,1.14,0.33,0.2,0.17,1.25,1.07,0.89,1.2,1.64,1.32
2019-20,19.0,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,20.0,Madhya Pradesh,28.5,34.25,29.99,13.0,18.62,13.46,1.5,1.71,1.13,3.75,5.35,3.74
2019-20,21.0,Maharashtra,26.0,28.2,24.19,7.5,8.55,6.07,4.75,4.62,3.24,21.0,30.54,21.9
2019-20,22.0,Manipur,0.27,0.29,0.26,0.12,0.07,0.05,0.12,0.02,0.01,0.0,0.0,0.0
2019-20,23.0,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,24.0,Mizoram,0.09,0.09,0.08,0.06,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2019-20,25.0,Nagaland,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,26.0,Orissa,5.35,6.72,5.56,2.15,2.62,1.99,1.35,1.69,1.21,3.0,3.58,2.53
2019-20,27.0,Pondicherry,0.13,0.12,0.11,0.02,0.01,0.01,0.03,0.02,0.01,0.05,0.09,0.07
