Episode,Total_Reward
1034,63.300000000000004
1035,150.4
1036,47.8
1037,135.6
1038,111.8
1039,160.0
1040,82.39999999999999
1041,160.0
1042,132.3
1043,109.89999999999998
1044,160.0
1045,97.3
1046,114.6
1047,114.5
1048,155.8
1049,139.6
1050,146.0
1051,125.92
1052,157.6
1053,106.5
1054,120.6
1055,160.0
1056,126.6
1057,153.6
1058,116.1
1059,137.0
1060,160.0
1061,117.4
1062,146.0
1063,106.39999999999999
1064,117.0
1065,150.3
1066,156.8
1067,135.3
1068,159.0
1069,153.6
1070,110.5
1071,157.6
1072,117.2
1073,98.1
1074,61.9
1075,135.5
1076,140.5
1077,160.0
1078,110.8
1079,146.95999999999998
1080,156.7
1081,156.8
1082,116.0
1083,126.0
1084,68.2
1085,140.0
1086,155.8
1087,94.6
1088,113.09999999999998
1089,132.4
1090,160.0
1091,160.0
1092,160.0
1093,130.8
1094,149.16
1095,93.0
1096,125.19999999999999
1097,107.3
1098,119.5
1099,121.0
1100,157.6
1101,150.7
1102,160.0
1103,132.7
1104,59.0
1105,104.0
1106,130.4
1107,134.06
1108,117.1
1109,155.60000000000002
1110,150.6
1111,115.4
1112,160.0
1113,160.0
1114,137.0
1115,155.6
1116,126.0
1117,160.0
1118,159.0
1119,160.0
1120,137.0
1121,158.8
1122,150.4
1123,155.8
1124,140.0
1125,137.0
1126,119.0
1127,119.5
1128,146.4
1129,157.0
1130,150.4
1131,78.3
1132,117.8
1133,120.5
1134,137.0
1135,132.8
1136,127.7
1137,128.8
1138,146.4
1139,123.4
1140,133.0
1141,96.39999999999999
1142,148.5
1143,159.0
1144,133.2
1145,65.0
1146,91.80000000000001
1147,148.4
1148,120.0
1149,160.0
1150,129.5
1151,122.6
1152,129.0
1153,82.80000000000001
1154,137.0
1155,134.0
1156,155.12
1157,113.1
1158,99.6
1159,96.5
1160,128.8
1161,72.4
1162,160.0
1163,137.0
1164,133.5
1165,137.0
1166,147.2
1167,153.36
1168,160.0
1169,146.2
1170,141.8
1171,156.56
1172,117.3
1173,119.2
1174,160.0
1175,143.0
1176,130.5
1177,110.0
1178,150.4
1179,80.5
1180,157.0
1181,137.8
1182,103.2
1183,104.25999999999999
1184,128.9
1185,133.7
1186,90.0
1187,75.9
1188,96.5
1189,130.39999999999998
1190,135.9
1191,125.0
1192,153.6
1193,96.8
1194,74.6
1195,84.8
1196,122.9
1197,121.0
1198,137.6
1199,137.0
1200,115.2
1201,137.0
1202,102.6
1203,104.2
1204,109.6
1205,133.8
1206,137.1
1207,135.5
1208,156.8
1209,115.0
1210,121.2
1211,134.9
1212,126.7
1213,120.5
1214,147.2
1215,115.0
1216,98.8
1217,160.0
1218,133.2
1219,129.0
1220,155.8
1221,80.1
1222,124.16
1223,144.5
1224,155.7
1225,50.599999999999994
1226,148.5
1227,76.0
1228,63.80000000000001
1229,30.0
1230,96.5
1231,109.4
1232,140.0
1233,100.4
1234,113.56
1235,131.2
1236,96.06
1237,124.89999999999999
1238,106.9
1239,160.0
1240,125.6
1241,120.39999999999999
1242,160.0
1243,100.0
1244,116.3
1245,129.4
1246,155.8
1247,137.2
1248,82.29999999999998
1249,133.8
1250,114.6
1251,150.6
1252,155.6
1253,140.8
1254,145.1
1255,146.0
1256,120.5
1257,85.8
1258,106.2
1259,156.8
1260,121.96
1261,103.0
1262,136.0
1263,129.4
1264,159.0
1265,91.7
1266,111.7
1267,160.0
1268,116.0
1269,107.39999999999999
1270,113.1
1271,134.6
1272,127.19999999999999
1273,141.3
1274,88.5
1275,136.4
1276,122.5
1277,160.0
1278,130.6
1279,144.5
1280,129.0
1281,114.6
1282,133.4
1283,151.2
1284,113.0
1285,88.3
1286,159.0
1287,129.0
1288,94.5
1289,160.0
1290,118.9
1291,155.36
1292,117.1
1293,134.6
1294,144.8
1295,126.0
1296,110.4
1297,95.0
1298,110.1
1299,140.5
1300,137.0
1301,157.6
1302,153.6
1303,134.9
1304,160.0
1305,156.56
1306,127.5
1307,155.56
1308,160.0
1309,119.0
1310,156.8
1311,125.6
1312,144.8
1313,139.0
1314,138.5
1315,159.0
1316,83.6
1317,70.5
1318,139.0
1319,137.0
1320,114.89999999999999
1321,113.0
1322,160.0
1323,156.7
1324,76.3
1325,130.6
1326,148.5
1327,157.6
1328,102.0
1329,118.9
1330,99.6
1331,159.0
1332,109.0
1333,152.3
1334,112.3
1335,117.4
1336,121.2
1337,146.4
1338,125.4
1339,93.6
1340,125.0
1341,40.199999999999996
1342,92.9
1343,116.3
1344,131.0
1345,111.3
1346,139.0
1347,155.8
1348,116.8
1349,143.39999999999998
1350,109.0
1351,87.56000000000003
1352,94.2
1353,125.5
1354,160.0
1355,123.9
1356,160.0
1357,129.8
1358,129.0
1359,34.960000000000015
1360,135.6
1361,147.2
1362,119.0
1363,135.2
1364,87.2
1365,132.8
1366,160.0
1367,151.2
1368,149.0
1369,147.8
1370,95.8
1371,160.0
1372,116.6
1373,154.0
1374,156.7
1375,75.69999999999999
1376,129.8
1377,156.0
1378,157.0
1379,80.2
1380,151.8
1381,85.7
1382,153.6
1383,146.96
1384,59.3
1385,130.6
1386,132.3
1387,147.8
1388,137.0
1389,142.90000000000003
1390,66.6
1391,123.19999999999999
1392,133.4
1393,156.7
1394,155.6
1395,154.0
1396,103.5
1397,156.8
1398,153.6
1399,96.4
1400,160.0
1401,117.8
1402,152.8
1403,144.8
1404,155.0
1405,154.0
1406,156.7
1407,130.6
1408,127.5
1409,151.2
1410,115.0
1411,85.5
1412,135.5
1413,158.8
1414,150.16
1415,113.6
1416,152.8
1417,157.0
1418,160.0
1419,119.6
1420,150.4
1421,115.0
1422,159.0
1423,98.19999999999999
1424,160.0
1425,133.7
1426,140.0
1427,104.56
1428,160.0
1429,153.6
1430,153.6
1431,124.3
1432,153.6
1433,115.30000000000001
1434,137.0
1435,150.8
1436,123.0
1437,135.5
1438,132.0
1439,160.0
1440,154.7
1441,134.9
1442,162.0
1443,144.8
1444,139.7
1445,130.5
1446,142.0
1447,44.6
1448,156.8
1449,142.5
1450,110.39999999999999
1451,118.5
1452,158.0
1453,120.1
1454,114.6
1455,122.4
1456,98.0
1457,95.8
1458,134.9
